OTU,shift,Day,Treatment
OTU.5352,-0.0014704653097914466,30,13CCSS
OTU.5351,,30,13CCSS
OTU.5350,,30,13CCSS
OTU.2556,,30,13CCSS
OTU.2477,0.0011729461469172087,30,13CCSS
OTU.3010,,30,13CCSS
OTU.1298,,30,13CCSS
OTU.1299,0.0038097491667157257,30,13CCSS
OTU.2557,,30,13CCSS
OTU.1293,-0.0213767853700082,30,13CCSS
OTU.1290,-0.013868607116823695,30,13CCSS
OTU.1291,-0.011346689229761342,30,13CCSS
OTU.1296,0.002973238431099423,30,13CCSS
OTU.1297,-0.0031218269602981685,30,13CCSS
OTU.1294,,30,13CCSS
OTU.1295,,30,13CCSS
OTU.3011,-0.017541095340755763,30,13CCSS
OTU.1458,0.009456496264175662,30,13CCSS
OTU.4179,,30,13CCSS
OTU.5979,-0.02375932771754119,30,13CCSS
OTU.5978,-0.015430614499577722,30,13CCSS
OTU.5973,,30,13CCSS
OTU.2475,,30,13CCSS
OTU.5971,,30,13CCSS
OTU.5970,,30,13CCSS
OTU.5977,,30,13CCSS
OTU.5976,-0.0002089180423532344,30,13CCSS
OTU.5947,,30,13CCSS
OTU.5974,,30,13CCSS
OTU.3016,,30,13CCSS
OTU.4174,,30,13CCSS
OTU.4175,-0.012447055745711477,30,13CCSS
OTU.4176,0.030326930210546887,30,13CCSS
OTU.4000,,30,13CCSS
OTU.4001,,30,13CCSS
OTU.4002,,30,13CCSS
OTU.4003,,30,13CCSS
OTU.4004,-0.0018944788234567245,30,13CCSS
OTU.4005,,30,13CCSS
OTU.4006,,30,13CCSS
