usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
  145    99.9%  38.0  0.00016   0.00163   0.16   0.001098    0.110%
  146    99.9%  37.9  0.00016    0.0017   0.16   0.001102    0.110%
  147    99.9%  38.0  0.00016    0.0018   0.16   0.001107    0.111%
  148    99.9%  37.3   0.0002   0.00245   0.17   0.001116    0.112%
  149    99.9%  36.8   0.0002   0.00272   0.17   0.001127    0.113%
  150    99.9%  36.5  0.00025   0.00291   0.17   0.001138    0.114%
  151    99.9%  36.0  0.00025   0.00318   0.17   0.001152    0.115%
  152    99.9%  34.4   0.0004   0.00367   0.18   0.001168    0.117%
  153    99.9%  34.6  0.00032   0.00375   0.18   0.001185    0.118%
  154    99.9%  35.8  0.00025   0.00284   0.18   0.001195    0.120%
  155    99.9%  35.6  0.00025   0.00291   0.19   0.001206    0.121%
  156    99.9%  37.7  0.00016   0.00221   0.19   0.001213    0.121%
  157    99.9%  37.4   0.0002   0.00234   0.19   0.001220    0.122%
  158    99.9%  37.1   0.0002   0.00232   0.19   0.001226    0.123%
  159    99.9%  37.3   0.0002   0.00229   0.20   0.001233    0.123%
  160    99.9%  37.9  0.00016   0.00203   0.20   0.001238    0.124%
  161    99.9%  38.0  0.00016   0.00194   0.20   0.001242    0.124%
  162    99.9%  38.2  0.00016   0.00188   0.20   0.001246    0.125%
  163    99.9%  38.2  0.00016   0.00188   0.20   0.001250    0.125%
  164    99.9%  38.4  0.00016   0.00181   0.21   0.001253    0.125%
  165    99.9%  38.4  0.00016   0.00176   0.21   0.001256    0.126%
  166    99.9%  38.4  0.00016   0.00173   0.21   0.001259    0.126%
  167    99.9%  38.5  0.00016    0.0017   0.21   0.001261    0.126%
  168    99.9%  38.4  0.00016   0.00166   0.21   0.001264    0.126%
  169    99.9%  38.1  0.00016   0.00173   0.21   0.001266    0.127%
  170    99.9%  37.6  0.00016   0.00193   0.22   0.001270    0.127%
  171    99.9%  37.4   0.0002   0.00201   0.22   0.001274    0.127%
  172    99.9%  37.3   0.0002   0.00207   0.22   0.001279    0.128%
  173    99.9%  36.9   0.0002   0.00228   0.22   0.001284    0.128%
  174    99.9%  36.9   0.0002   0.00227   0.22   0.001290    0.129%
  175    99.9%  37.6  0.00016   0.00202   0.23   0.001294    0.129%
  176    99.9%  38.0  0.00016   0.00188   0.23   0.001297    0.130%
  177    99.9%  37.2   0.0002   0.00205   0.23   0.001301    0.130%
  178    99.9%  36.8   0.0002   0.00226   0.23   0.001306    0.131%
  179    99.9%  36.0  0.00025   0.00286   0.24   0.001315    0.131%
  180    99.9%  36.2  0.00025   0.00284   0.24   0.001323    0.132%
  181    99.9%  36.2  0.00025   0.00284   0.24   0.001331    0.133%
